"层级","优先级","接口名称","用途","本轮诊断价值","是否属于最小集"
"故障源","必须","Veh_1.Driver.Key","记录钥匙下降沿、脉冲与恢复沿","三类FI-08故障的唯一注入源","是"
"关键工况","必须","Veh_1.Driver.Gear_Button","排除挡位切换影响","运行关断和脉冲阶段保持1","是"
"关键工况","必须","Veh_1.Driver.AccPedal_perc","排除油门撤除影响","运行关断和脉冲阶段保持100%","是"
"关键工况","必须","Veh_1.Driver.BrakePedal_perc","排除脚制动影响","运行关断和脉冲阶段保持0%","是"
"前轴实际扭矩","必须","Veh_1.PlantModel.PlantModel.Powertrain.FMotor.Motor.MotTrqManagement.FTrq","验证前轴动力切断","下降沿后220至260ms降至基线5%以下","是"
"后轴实际扭矩","必须","Veh_1.PlantModel.PlantModel.Powertrain.RMotor.Motor.MotTrqManagement.RTrq","验证后轴动力切断","下降沿后220至260ms降至基线5%以下","是"
"电能响应","必须","Veh_1.ToVCU.powerCAN_out.SoftMCUDataToBus.MC_motor_Torque_AND_speed.MC_busbar_current_ToBus","观察MC功率链关断","下降沿后220至260ms降至基线5%以下","是"
"车辆响应","必须","Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed ","观察滑行与意外再驱动","下降沿后300至340ms达峰并转降","是"
"模型生命周期","下一轮必须","Model_Disabled; Model_Reset; Veh_1.ToVCU.HW.Relay.Relay25.Model_Disabled_Out","区分模型禁用、复位和普通Key关断","本轮未记录，无法解释脉冲恢复不驱动","否"
"VCU控制命令","下一轮必须","Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_2.VCU_TqReqCmd; Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_Target_output_Torque","区分上层请求清零和底层动力切断","本轮未记录","否"
"钥匙状态反馈","下一轮必须","Veh_1.FromVCU.CAN.VCU_Power.VCU_Geaeral_CAN1.VCU_Key_Position; Veh_1.FromVCU.CAN.VCU_Body.BCM_1.KeySts","确认VCU/BCM实际钥匙状态","本轮仅记录Driver.Key","否"
"故障与报文状态","推荐","Veh_1.ToVCU.powerCAN_out.SoftMCUDataToBus.MC_General.MC_system_Fault_level_ToBus; Veh_1.ToVCU.powerCAN_out.SoftMCUDataToBus.MC_motor_Torque_AND_speed_MsgEnable.MC_motor_Torque_AND_speed_MsgDisable","识别MC保护和报文失能","本轮未记录","否"
